timestamp,open,high,low,close,volume,close_time,quote_volume,trades_count,taker_buy_volume,taker_buy_quote_volume,ignore,fundingRate
2025-03-20 18:30:00,83932.9,83966.9,83910.0,83953.0,217.411,1742495459999,18247777.53100,2903,142.513,11961660.04710,0,
2025-03-20 18:31:00,83953.0,83959.0,83902.2,83918.3,93.47,1742495519999,7844311.22850,1907,54.116,4541526.40290,0,
2025-03-20 18:32:00,83918.4,84000.0,83911.7,83991.9,85.554,1742495579999,7182693.04500,1954,51.802,4349208.28750,0,
2025-03-20 18:33:00,83991.9,84023.4,83958.1,83968.5,89.805,1742495639999,7542069.72110,2237,66.546,5588584.61910,0,
2025-03-20 18:34:00,83968.5,84010.5,83964.8,84000.9,45.495,1742495699999,3821137.31540,1286,28.562,2398867.62710,0,
2025-03-20 18:35:00,84000.9,84090.0,84000.9,84072.4,89.649,1742495759999,7536380.77590,2043,59.925,5037622.41780,0,
2025-03-20 18:36:00,84072.4,84124.0,84048.5,84111.9,62.179,1742495819999,5229357.20910,2166,42.388,3564946.22120,0,
2025-03-20 18:37:00,84111.9,84149.1,84080.1,84104.4,161.128,1742495879999,13554101.91610,2557,76.443,6430423.57460,0,
2025-03-20 18:38:00,84104.4,84214.0,84096.9,84190.9,313.393,1742495939999,26381089.88260,4107,245.892,20699255.68770,0,
2025-03-20 18:39:00,84190.9,84199.2,84122.0,84122.0,131.006,1742495999999,11026483.82280,1792,47.210,3973809.30150,0,
2025-03-20 18:40:00,84122.1,84122.1,84092.0,84095.0,124.736,1742496059999,10490825.58620,1515,82.842,6967252.68090,0,
2025-03-20 18:41:00,84095.0,84107.8,84050.0,84053.1,37.233,1742496119999,3130257.33360,1225,18.800,1580610.64520,0,
2025-03-20 18:42:00,84053.2,84064.4,84012.1,84025.3,28.363,1742496179999,2383502.34310,1157,10.568,888109.88720,0,
2025-03-20 18:43:00,84025.4,84059.5,84000.8,84004.1,66.666,1742496239999,5601791.18300,1652,33.251,2793980.17920,0,
2025-03-20 18:44:00,84004.1,84004.1,83966.0,83966.0,70.356,1742496299999,5908631.27470,1622,19.839,1666020.07550,0,
2025-03-20 18:45:00,83966.0,84016.8,83943.7,83990.0,91.384,1742496359999,7673335.81560,2157,51.272,4305384.45080,0,
2025-03-20 18:46:00,83990.1,84014.2,83968.0,83975.4,75.261,1742496419999,6321228.88260,1718,35.596,2989613.18400,0,
2025-03-20 18:47:00,83975.5,84016.0,83960.1,84014.2,59.401,1742496479999,4988869.62700,1728,26.255,2205057.67050,0,
2025-03-20 18:48:00,84014.3,84046.6,83930.0,84018.5,101.002,1742496539999,8483304.42630,2558,41.924,3521073.38790,0,
2025-03-20 18:49:00,84018.5,84088.0,84018.5,84073.6,89.447,1742496599999,7518893.74360,2154,71.598,6018230.69530,0,
2025-03-20 18:50:00,84073.7,84100.0,84042.9,84083.0,105.848,1742496659999,8898958.64730,2118,75.648,6359764.48360,0,
2025-03-20 18:51:00,84082.9,84082.9,84032.4,84035.0,33.552,1742496719999,2820094.01950,1418,19.624,1649432.68820,0,
2025-03-20 18:52:00,84035.1,84120.9,84035.0,84109.9,160.83,1742496779999,13524422.66740,1646,108.022,9083246.63660,0,
2025-03-20 18:53:00,84109.8,84153.0,84109.8,84153.0,69.607,1742496839999,5855335.35700,1322,48.316,4064348.73080,0,
2025-03-20 18:54:00,84153.0,84153.0,84094.1,84149.8,58.189,1742496899999,4895091.96700,1295,18.394,1547327.45680,0,
2025-03-20 18:55:00,84149.9,84149.9,84072.3,84084.6,54.348,1742496959999,4571350.96670,1237,14.234,1197019.76660,0,
2025-03-20 18:56:00,84084.6,84138.5,84063.4,84096.6,48.288,1742497019999,4060956.25740,1444,17.429,1465831.59130,0,
2025-03-20 18:57:00,84096.7,84099.3,84070.6,84083.6,46.286,1742497079999,3891807.08110,1370,22.801,1917106.69410,0,
2025-03-20 18:58:00,84083.7,84096.7,83980.0,84011.9,337.909,1742497139999,28386372.24350,3327,56.808,4772233.41520,0,
2025-03-20 18:59:00,84012.0,84022.1,83973.7,84022.0,106.674,1742497199999,8959809.33960,1834,41.301,3469135.04730,0,
2025-03-20 19:00:00,84022.0,84107.6,83998.9,84107.6,131.878,1742497259999,11084447.24500,2318,57.366,4821836.73250,0,
2025-03-20 19:01:00,84108.2,84114.3,84080.0,84080.1,45.81,1742497319999,3852767.56020,1006,21.056,1770788.66490,0,
2025-03-20 19:02:00,84080.0,84080.1,84016.8,84048.2,67.508,1742497379999,5674131.84540,1476,19.850,1668405.38090,0,
2025-03-20 19:03:00,84048.2,84050.0,84008.4,84031.6,43.877,1742497439999,3686652.74040,1127,21.824,1833639.72690,0,
